crop,issue_id,issue_name,category,causal_agent,temp_min_c,temp_opt_c,temp_max_c,rh_min_pct,rh_opt_pct,leaf_wetness_hrs,rain_trigger,soil_ph_min,soil_ph_max,soil_drainage,soil_texture,ndvi_signal,ndmi_signal,ndre_signal,growth_stage,consecutive_dry_days_trigger,consecutive_wet_days_trigger,temp_stress_threshold_c,soil_ec_threshold_ds_m,perfect_temp_min_c,perfect_temp_max_c,perfect_rh_min_pct,perfect_rh_max_pct,perfect_soil_ph_min,perfect_soil_ph_max,perfect_soil_drainage,perfect_rainfall_mm_week,severity,ndvi_threshold,ndmi_threshold,ndre_threshold,rule_logic,notes,recommendation,urgency
Generic,GEN_MN_DEF,Manganese Deficiency,Deficiency,High pH Mn lockout,,,,,,,,7.0,8.5,Any,Any,NDVI_interveinal_pale,NDMI_normal,NDRE_low,Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Low,,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": "">"", ""value"": 7.0}]}",Pale interveinal areas on young leaves. Over-liming frequently causes.,Apply manganese sulphate foliar at 0.5% — check pH; manganese locks out above pH 7.0,Within 1 week
Generic,GEN_CU_DEF,Copper Deficiency,Deficiency,Low Cu / high pH,,,,,,,,7.0,8.5,Any,Any,NDVI_bluish_young_leaves,NDMI_normal,NDRE_low,Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Low,,,0.2,"{""logic"": ""OR"", ""conditions"": [{""field"": ""ph"", ""op"": "">="", ""value"": 7.5}]}",Bluish-green young leaves. Alkaline and peat soils.,Apply copper sulphate foliar at 0.2%; liming may be needed if soil is very alkaline,Within 1 week
Generic,GEN_MO_DEF,Molybdenum Deficiency,Deficiency,Acid soil Mo lockout,,,,,,,,4.5,6.0,Any,Any,NDVI_cupped_yellow,NDMI_normal,NDRE_low,Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Low,,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": ""<="", ""value"": 5.5}]}",Cupped leaf margins. Acid soils. Critical for N fixation in legumes.,Apply sodium molybdate foliar at 0.02%; or lime soil to raise pH above 5.5,This season
Generic,GEN_N_TOX,Nitrogen Toxicity,Toxicity,N over-application,,,,,,,,,,Any,Any,NDVI_dark_lush,NDMI_high,NDRE_very_high,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndre"", ""op"": "">"", ""value"": 0.55}, {""field"": ""ndvi"", ""op"": "">"", ""value"": 0.75}]}",Dark lush growth. Lodging risk. Fungal disease susceptibility.,Withhold nitrogen fertiliser; increase irrigation to leach excess N; avoid lodging by reducing canopy density,Immediately
Generic,GEN_SALINITY,Salinity Stress,Salinity,Excess soil salts,,,,,,,Saline irrigation,,,Any,Any,NDVI_marginal_scorch,NDMI_low,NDRE_low,Any,,,,4.0,,,40.0,70.0,6.0,7.0,Well,15-25,High,-0.1,-0.15,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""soil_ec_ds_m"", ""op"": "">"", ""value"": 4.0}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.1}]}",EC>4 dS/m causes osmotic stress. Leaf tip burn and marginal scorch.,Flush salts with a deep leaching irrigation; test EC; switch to low-salinity water if possible,Within 1 week
Generic,GEN_AL_TOX,Aluminium Toxicity,Toxicity,Acid soil Al mobilization,,,,,,,,4.0,5.5,Any,Any,NDVI_stunted,NDMI_low,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,,-0.1,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": ""<"", ""value"": 5.0}]}",pH<5.0 mobilizes toxic Al3+. Root stunting. Lime to correct.,Apply agricultural lime at 2-4 t/ha to raise pH above 5.5 and immobilise aluminium,This season
Generic,GEN_MN_TOX,Manganese Toxicity,Toxicity,Acid/waterlogged Mn,,,,,,,Waterlogging,4.0,5.5,Poor,Any,NDVI_brown_spots,NDMI_high,NDRE_low,Any,,3.0,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,0.0,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": ""<="", ""value"": 5.5}, {""field"": ""soil_drainage"", ""op"": ""=="", ""value"": ""Poor""}]}",Flooded acid soils reduce Mn to toxic forms.,Improve drainage; apply lime to raise pH above 5.5; manganese toxicity disappears when pH is corrected,This season
Generic,GEN_NA_TOX,Sodium Toxicity / Sodicity,Toxicity,High exchangeable Na,,,,,,,Saline irrigation,,,Poor,Clay,NDVI_leaf_scorch,NDMI_variable,NDRE_low,Any,,,,8.5,,,40.0,70.0,6.0,7.0,Well,15-25,High,,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": "">"", ""value"": 8.5}, {""field"": ""soil_drainage"", ""op"": ""=="", ""value"": ""Poor""}]}",Sodic soils destroy structure. Gypsum to displace Na.,Apply gypsum at 2-5 t/ha to displace sodium; deep plough and leach; improve drainage structure,This season
Generic,GEN_HEAT_SEVERE,Severe Heat Stress >35C,Heat,High temperature,35.0,40.0,,,,,,,,Any,Any,NDVI_declining,NDMI_low,NDRE_declining,Flowering,,,35.0,,,,40.0,70.0,,,Any,15-25,High,-0.1,-0.15,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""max_temp_7d"", ""op"": "">"", ""value"": 35}]}",T>35C at flowering causes pollen sterility in most crops.,Irrigate early morning to cool canopy; apply kaolin clay foliar as reflectant if available,Today
Generic,GEN_HEAT_MILD,Mild Heat Stress 30-35C,Heat,Elevated temperature,30.0,35.0,,,,,,,,Any,Any,NDVI_slight_decline,NDMI_moderate_low,NDRE_moderate,Any,,,30.0,,,,40.0,70.0,,,Any,15-25,Medium,,-0.05,0.25,"{""logic"": ""AND"", ""conditions"": [{""field"": ""max_temp_7d"", ""op"": "">"", ""value"": 30}, {""field"": ""max_temp_7d"", ""op"": ""<"", ""value"": 35}]}",30-35C increases respiration. Combined drought = severe compound stress.,Monitor closely; irrigate early morning to buffer heat; avoid nitrogen application during heat event,Within 3 days
Generic,GEN_CHILLING,Chilling Injury,Cold,Sub-optimal low temperature,0.0,,10.0,,,,,,,Any,Any,NDVI_pale_slow,NDMI_normal,NDRE_low,Seedling-Vegetative,,,5.0,,,,40.0,70.0,,,Any,15-25,Medium,,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""avg_temp_7d"", ""op"": ""<"", ""value"": 10}]}",Tropical crops damaged 0-10C. Slows growth. Purpling of leaves.,Cover young plants if possible; avoid irrigation during cold period; delay planting until soil warms,Immediately
Generic,GEN_FROST,Frost Damage,Cold,Sub-zero temperature,,,0.0,,,,,,,Any,Any,NDVI_sudden_brown,NDMI_very_low,NDRE_very_low,Any,,,0.0,,,,40.0,70.0,,,Any,15-25,Severe,-0.2,-0.3,0.1,"{""logic"": ""AND"", ""conditions"": [{""field"": ""min_temp_7d"", ""op"": ""<"", ""value"": 0}]}",Ice crystal formation ruptures cells. Young growth most vulnerable.,Assess damage at dawn; remove damaged tissue to prevent disease; delay harvest if fruit affected,Today
Generic,GEN_COMPACTION,Soil Compaction,Physiological,Heavy machinery / tillage,,,,,,,,,,Any,Clay,NDVI_patchy_stunting,NDMI_variable,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,-0.1,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""bulk_density"", ""op"": "">"", ""value"": 1.5}]}",BD>1.5 g/cm3 restricts root growth. Patchy stunting in tramlines.,Subsoil till or rip compacted zone; avoid machinery on wet soil; plant deep-rooted cover crop,This season
Generic,GEN_HARDPAN,Hardpan / Plough Pan,Physiological,Repeated shallow tillage,,,,,,,,,,Any,Clay,NDVI_uniform_poor,NDMI_variable,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,-0.15,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""bulk_density"", ""op"": "">"", ""value"": 1.6}]}",Impervious layer at tillage depth. Roots deflect; waterlogging above pan.,Deep rip at 40-50cm depth; plant radish or sunflower cover crop to biologically break pan,This season
Generic,GEN_CRUSTING,Soil Surface Crusting,Physiological,High clay/silt + rain impact,,,,,,,Heavy rain on bare soil,,,Any,Clay,NDVI_poor_emergence,NDMI_surface_high,NDRE_low,Seedling,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""clay_pct"", ""op"": "">"", ""value"": 25}, {""field"": ""growth_stage"", ""op"": ""contains"", ""value"": ""seedling""}]}",Rain on bare soil forms physical crust. Impedes emergence.,Row-harrow or rotary hoe to break surface crust; mulch inter-rows to prevent crust re-formation,Within 3 days
Generic,GEN_ACID_SOIL,Acid Soil Stress,Abiotic,Low soil pH,,,,,,,,4.0,5.5,Any,Any,NDVI_stunted,NDMI_normal,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,-0.1,,0.18,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": ""<="", ""value"": 5.5}]}",pH<5.5 causes Al+Mn toxicity. P+Ca+Mg deficiency. Lime to correct.,Apply agricultural lime at 1-3 t/ha; re-test pH in 6 months; target pH 6.0-6.5,This season
Generic,GEN_ALKALINE_SOIL,Alkaline Soil Stress,Abiotic,High soil pH,,,,,,,,7.5,9.5,Any,Any,NDVI_chlorotic,NDMI_normal,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": "">"", ""value"": 7.8}]}","pH>7.8 locks out Fe, Mn, Zn, Cu, B. Interveinal chlorosis.",Apply elemental sulphur at 200-500 kg/ha; use ammonium-based fertilisers; apply chelated micronutrients,This season
Generic,GEN_LOW_OM,Low Organic Matter,Abiotic,Depleted soil organic carbon,,,,,,,,,,Any,Sandy,NDVI_low_poor_response,NDMI_very_low,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,-0.05,-0.1,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""soc_g_kg"", ""op"": ""<"", ""value"": 8}]}","SOC<8 g/kg = poor structure, low CEC, low water retention.",Apply compost at 3-5 t/ha; retain crop residues; plant legume cover crop in off-season,This season
Generic,GEN_SHADE,Shade Stress,Abiotic,Insufficient solar radiation,,,,,,,,,,Any,Any,NDVI_low_uniform,NDMI_high,NDRE_low,Any,,,,,,,40.0,70.0,,,Any,15-25,Low,0.3,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.3}, {""field"": ""ndmi"", ""op"": "">"", ""value"": 0.0}]}",NDVI low but NDMI adequate = light limitation not water stress.,Assess canopy competition; thin or prune competing vegetation; consider variety change if shade is permanent,This season
Generic,GEN_LODGING,Lodging Risk,Physiological,N excess + wind + rain,,,,,,,Heavy rain + wind,,,Any,Any,NDVI_sudden_decline,NDMI_high,NDRE_high,Grain fill,,3.0,,,,,40.0,70.0,,,Any,15-25,High,-0.15,0.1,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndre"", ""op"": "">"", ""value"": 0.5}, {""field"": ""consecutive_wet_days"", ""op"": "">="", ""value"": 3}]}",NDRE very high (excess N) + wet = lodging risk.,Apply growth regulator if still vegetative; stake high-value crops; avoid further N application,Within 3 days
Generic,GEN_SUNSCALD,Leaf Sunscald,Abiotic,Excessive direct radiation,35.0,40.0,,,,,,,,Any,Any,NDVI_bleached_patches,NDMI_very_low,NDRE_low,Any,7.0,,35.0,,,,30.0,60.0,,,Any,15-25,Low,,-0.2,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""max_temp_7d"", ""op"": "">"", ""value"": 38}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.2}]}",Bleached patches on sun-facing leaves. Heat+drought+radiation combined.,Apply kaolin clay foliar as sun reflectant; increase irrigation frequency; shade young fruits if feasible,Within 3 days
Generic,GEN_WIND_DAMAGE,Wind Damage / Abrasion,Abiotic,High wind speed,,,,,,,,,,Any,Any,NDVI_shredded_canopy,NDMI_low,NDRE_moderate,Any,,,,,,,40.0,70.0,,,Any,15-25,Medium,,-0.1,,"{""logic"": ""EXTERNAL"", ""note"": ""wind speed data needed""}","Physical leaf tearing, stem breakage. Exposes wounds for pathogen entry.",Install windbreaks; stake affected plants; remove shredded tissue to prevent disease entry,Within 3 days
Generic,GEN_HERBICIDE_DRIFT,Herbicide Drift Damage,Abiotic,Off-target herbicide,,,,,,,Wind during application,,,Any,Any,NDVI_distorted_bleached,NDMI_normal,NDRE_variable,Any,,,,,,,40.0,70.0,,,Any,15-25,Medium,,,,"{""logic"": ""EXTERNAL"", ""note"": ""no satellite trigger; scouting required""}",Cupped or bleached leaves. Pattern follows wind direction.,Document drift direction and source; do not apply more herbicide; allow crop to recover 2-3 weeks before reassessing,Immediately
Generic,GEN_ROOTKNOT,Root Knot Nematode,Nematode,Meloidogyne spp.,10.0,27.0,35.0,,,,Soil moisture,5.5,7.5,Any,Sandy,NDVI_patchy_stunting,NDMI_low,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,-0.1,-0.1,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.4}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.1}, {""field"": ""soil_texture"", ""op"": ""in"", ""value"": [""Sandy"", ""Sandy loam""]}]}",Root galls restrict water+nutrient uptake. Sandy soils favor.,Rotate to non-host crop next season; apply nematicide if infestation is confirmed by sampling,This season
Generic,GEN_LESION_NEMA,Lesion Nematode,Nematode,Pratylenchus spp.,10.0,25.0,32.0,,,,Soil moisture,5.5,7.5,Any,Any,NDVI_stunting,NDMI_low,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,-0.1,-0.1,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.4}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.1}]}",Migratory; browning root lesions. Enters/exits roots repeatedly.,Rotate to non-host crop; apply Paecilomyces or neem-based biocontrol; sample soil to confirm,This season
Generic,GEN_CYST_NEMA,Cyst Nematode,Nematode,Heterodera/Globodera spp.,5.0,20.0,28.0,,,,Soil moisture,5.5,7.5,Any,Any,NDVI_patchy_yellowing,NDMI_low,NDRE_very_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,-0.15,-0.1,0.15,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.35}, {""field"": ""ndre"", ""op"": ""<"", ""value"": 0.2}]}",Sedentary endoparasite. Cysts persist decades. Patchy fairy-ring patterns.,Implement 3-4 year rotation away from host crops; resistant varieties are the most effective control,This season
Generic,GEN_POOR_GERM,Poor Seed Germination,Abiotic,Extreme soil conditions,,,,,,,Extreme conditions,,,Any,Any,NDVI_patchy_very_low,NDMI_variable,NDRE_very_low,Seedling,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,0.15,,0.1,"{""logic"": ""OR"", ""conditions"": [{""field"": ""avg_temp_7d"", ""op"": ""<"", ""value"": 10}, {""field"": ""avg_temp_7d"", ""op"": "">"", ""value"": 35}, {""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 10}]}",NDVI very low at seedling stage. MSAVI useful. Patchy stand.,Resow bare patches with fresh certified seed; check soil temperature and moisture before resowing,Within 3 days
Generic,GEN_DAMPING_OFF,Damping Off,Fungal/Oomycete,Pythium/Rhizoctonia/Fusarium,10.0,25.0,35.0,90,99,,Wet cool or warm,,,Poor,Any,NDVI_seedling_collapse,NDMI_high,NDRE_very_low,Seedling,,3.0,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,0.15,0.0,0.1,"{""logic"": ""AND"", ""conditions"": [{""field"": ""consecutive_wet_days"", ""op"": "">="", ""value"": 3}, {""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.2}]}",Pre/post-emergence seedling death. Poor drainage + wet soils.,Improve drainage; reduce irrigation; apply Trichoderma or mancozeb drench to affected seedlings,Within 2 days
Generic,GEN_PREMATURE_SEN,Premature Senescence,Physiological,Heat + Drought at grain fill,35.0,,,,,,Heat+Drought,,,Any,Any,NDVI_rapid_decline,NDMI_very_low,NDRE_declining,Grain fill-Maturation,7.0,,35.0,,,,40.0,70.0,,,Any,15-25,High,-0.15,-0.2,0.15,"{""logic"": ""AND"", ""conditions"": [{""field"": ""psri"", ""op"": "">"", ""value"": 0.1}, {""field"": ""max_temp_7d"", ""op"": "">"", ""value"": 32}, {""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 7}]}",PSRI rising + heat + drought = premature ripening. Grain fill incomplete.,"Irrigate to reduce heat load; assess grain fill — if <50% complete, early harvest may minimise further loss",Today
Generic,GEN_HEAVY_METAL,Heavy Metal Contamination,Toxicity,Cd/Pb/As/Hg in soil,,,,,,,,,,Any,Any,NDVI_general_stress,NDMI_normal,NDRE_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,,,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndre"", ""op"": ""<"", ""value"": 0.2}, {""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.4}]}",Industrial/smelter sites. Root damage and chlorosis. Lab analysis required.,Stop cultivation on this plot; commission full soil metals analysis; do not harvest for food until tested,Immediately
Maize,MAIZE_NORTHERN_CORN_LEAF_B,Northern Corn Leaf Blight,Fungal,Exserohilum turcicum,18.0,22.0,30.0,80,95,6–18 hrs,Moderate–heavy,5.8,7.0,Well drained,Any,NDVI decline,NDMI moderate,NDRE low,V6–VT,,,,,,,,,5.8,7.0,Well drained,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Gray-green oval lesions; worse in cool humid weather,Apply foliar fungicide (propiconazole or pyraclostrobin) at first lesion appearance; ensure good canopy airflow,Within 3 days
